A;B;C;;;;;;;;;
;;;;;;;;;;;
ID;Date;Code;;Sign;Number;isDone;Name;Industry;isJob;Type;isActual
BDCQ.SEA1LA;2019.09;31475;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Rental, Hiring and Real Estate Services;Actual
BDCQ.SEA1LA;2019.12;33344;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Rental, Hiring and Real Estate Services;Actual
BDCQ.SEA1LA;2020.03;33516;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Rental, Hiring and Real Estate Services;Actual
BDCQ.SEA1LA;2020.06;32540;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Rental, Hiring and Real Estate Services;Actual
BDCQ.SEA1LA;2020.09;31328;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Rental, Hiring and Real Estate Services;Actual
BDCQ.SEA1MA;2011.06;113336;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2011.09;111737;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2011.12;113102;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2012.03;112530;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2012.06;114469;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2012.09;114878;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2012.12;116590;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2013.03;120519;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2013.06;123086;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2013.09;120914;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2013.12;122773;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2014.03;123278;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2014.06;125667;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2014.09;124840;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2014.12;128593;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2015.03;129410;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2015.06;131492;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2015.09;131312;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2015.12;133253;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2016.03;133729;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2016.06;136481;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2016.09;137207;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2016.12;139692;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2017.03;140933;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2017.06;143916;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2017.09;143132;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2017.12;147489;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2018.03;148620;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2018.06;151583;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2018.09;151771;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2018.12;156164;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2019.03;157020;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2019.06;158650;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2019.09;157392;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2019.12;157885;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2020.03;158806;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2020.06;157393;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
BDCQ.SEA1MA;2020.09;157428;;F;Number;0;Business Data Collection - BDC;Industry by employment variable;Filled jobs;Professional, Scientific and Technical Services;Actual
